canonical_structure,dataset,available,sex,donor,geometry_type,quality,license_class,priority
UBERON:0002266,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
UBERON:0004725,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_frontal_agranular_insular_cortex_area_Fl_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_temporal_agranular_insular_cortex_area_Tl_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_head_of_caudate_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_body_of_caudate_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_tail_of_caudate_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
UBERON:0008884|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_nucleus_accumbens_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_external_segment_of_globus_pallidus_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_internal_segment_of_globus_pallidus_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_claustrum_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_basal_forebrain_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_septal_nuclei_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_amygdaloid_complex_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_anterior_amygdaloid_area_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_central_nuclear_group_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_lateral_nucleus_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_basolateral_nucleus_basal_nucleus_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
HRA:Allen_basomedial_nucleus_accessory_basal_nucleus_L|left,hra-female,True,unknown-per-component,hra-female-assembly,reference_assembly,source-buffer-checked; anatomical-review-pending,CC-BY-4.0,4
