canonical_id,name,uberon,fma,ta2,system,laterality,scope
HRA:Allen_lateral_dorsal_nucleus_of_thalamus_L|left,lateral dorsal nucleus of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_mediodorsal_nucleus_of_thalamus_L|left,mediodorsal nucleus of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L|left,reuniens nucleus medioventral nucleus of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_lateral_posterior_nucleus_of_thalamus_L|left,lateral posterior nucleus of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_pulvinar_of_thalamus_L|left,pulvinar of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_ventral_anterior_nucleus_of_thalamus_L|left,ventral anterior nucleus of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_ventral_lateral_nucleus_of_thalamus_L|left,ventral lateral nucleus of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_ventral_posterior_lateral_nucleus_L|left,ventral posterior lateral nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_ventral_posterior_medial_nucleus_L|left,ventral posterior medial nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_dorsal_lateral_geniculate_nucleus_L|left,dorsal lateral geniculate nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_medial_geniculate_nuclei_L|left,medial geniculate nuclei (left),,,,nervous,left,direct-source-geometry
HRA:Allen_centromedian_nucleus_of_thalamus_L|left,centromedian nucleus of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_parafascicular_nucleus_of_thalamus_L|left,parafascicular nucleus of thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_habenular_nuclei_L|left,habenular nuclei (left),,,,nervous,left,direct-source-geometry
UBERON:0001905,pineal body,UBERON:0001905,,,nervous,unspecified,direct-source-geometry
HRA:Allen_zona_incerta_L|left,zona incerta (left),,,,nervous,left,direct-source-geometry
HRA:Allen_supraoptic_region_of_HTH_L|left,supraoptic region of HTH (left),,,,sensory,left,direct-source-geometry
HRA:Allen_preoptic_region_of_HTH_L|left,preoptic region of HTH (left),,,,sensory,left,direct-source-geometry
HRA:Allen_tuberal_region_of_HTH_L|left,tuberal region of HTH (left),,,,nervous,left,direct-source-geometry
HRA:Allen_white_matter_of_forebrain_L|left,white matter of forebrain (left),,,,nervous,left,direct-source-geometry
UBERON:0000935,anterior commissure,UBERON:0000935,,,nervous,unspecified,direct-source-geometry
UBERON:0002336,corpus callosum,UBERON:0002336,,,nervous,unspecified,direct-source-geometry
UBERON:0000052,fornix of brain,UBERON:0000052,,,nervous,unspecified,direct-source-geometry
HRA:Allen_mammillothalamic_tract_L|left,mammillothalamic tract (left),,,,nervous,left,direct-source-geometry
UBERON:0001908,optic tract,UBERON:0001908,,,sensory,unspecified,direct-source-geometry
HRA:Allen_anterior_horn_of_lateral_ventricle_L|left,anterior horn of lateral ventricle (left),,,,nervous,left,direct-source-geometry
HRA:Allen_body_of_lateral_ventricle_L|left,body of lateral ventricle (left),,,,nervous,left,direct-source-geometry
HRA:Allen_posterior_horn_of_lateral_ventricle_L|left,posterior horn of lateral ventricle (left),,,,nervous,left,direct-source-geometry
HRA:Allen_inferior_horn_of_lateral_ventricle_L|left,inferior horn of lateral ventricle (left),,,,nervous,left,direct-source-geometry
HRA:Allen_third_ventricle_L|left,third ventricle (left),,,,nervous,left,direct-source-geometry
UBERON:0004720,cerebellar vermis,UBERON:0004720,,,nervous,unspecified,direct-source-geometry
HRA:Allen_cerebellar_deep_nuclei_L|left,cerebellar deep nuclei (left),,,,nervous,left,direct-source-geometry
HRA:Allen_white_matter_of_hindbrain_L|left,white matter of hindbrain (left),,,,nervous,left,direct-source-geometry
HRA:Allen_olfactory_tract_L|left,olfactory tract (left),,,,nervous,left,direct-source-geometry
UBERON:0002703,precentral gyrus,UBERON:0002703,,,nervous,unspecified,direct-source-geometry
UBERON:0002661,superior frontal gyrus,UBERON:0002661,,,nervous,unspecified,direct-source-geometry
UBERON:0002702,middle frontal gyrus,UBERON:0002702,,,nervous,unspecified,direct-source-geometry
UBERON:0002629,triangular part of inferior frontal gyrus,UBERON:0002629,,,nervous,unspecified,direct-source-geometry
UBERON:0002980,opercular part of inferior frontal gyrus,UBERON:0002980,,,nervous,unspecified,direct-source-geometry
UBERON:0004671,gyrus rectus,UBERON:0004671,,,nervous,unspecified,direct-source-geometry
UBERON:0002570,medial orbital gyrus,UBERON:0002570,,,nervous,unspecified,direct-source-geometry
UBERON:0002644,intermediate orbital gyrus,UBERON:0002644,,,nervous,unspecified,direct-source-geometry
UBERON:0002564,lateral orbital gyrus,UBERON:0002564,,,nervous,unspecified,direct-source-geometry
UBERON:0035932,anterior segment of paracentral lobule,UBERON:0035932,,,nervous,unspecified,direct-source-geometry
UBERON:0002947,frontal operculum,UBERON:0002947,,,nervous,unspecified,direct-source-geometry
UBERON:0002581,postcentral gyrus,UBERON:0002581,,,nervous,unspecified,direct-source-geometry
HRA:Allen_supraparietal_lobule_L|left,supraparietal lobule (left),,,,nervous,left,direct-source-geometry
HRA:Allen_supramarginal_gyrus_L|left,supramarginal gyrus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_angular_gyrus_L|left,angular gyrus (left),,,,nervous,left,direct-source-geometry
UBERON:0006093,precuneus cortex,UBERON:0006093,,,nervous,unspecified,direct-source-geometry
HRA:Allen_paracentral_lobule_caudal_part_L|left,paracentral lobule caudal part (left),,,,nervous,left,direct-source-geometry
UBERON:0002769,superior temporal gyrus,UBERON:0002769,,,nervous,unspecified,direct-source-geometry
UBERON:0002771,middle temporal gyrus,UBERON:0002771,,,nervous,unspecified,direct-source-geometry
UBERON:0002751,inferior temporal gyrus,UBERON:0002751,,,nervous,unspecified,direct-source-geometry
HRA:Allen_occipitotemporal_fusiform_gyrus_temporal_part_L|left,occipitotemporal fusiform gyrus temporal part (left),,,,nervous,left,direct-source-geometry
HRA:Allen_transverse_temporal_gyrus_Heschls_gyrus_L|left,transverse temporal gyrus Heschls gyrus (left),,,,nervous,left,direct-source-geometry
UBERON:0022268,planum temporale,UBERON:0022268,,,nervous,unspecified,direct-source-geometry
UBERON:0002576,temporal pole,UBERON:0002576,,,nervous,unspecified,direct-source-geometry
UBERON:0023861,planum polare,UBERON:0023861,,,nervous,unspecified,direct-source-geometry
UBERON:0002902,occipital pole,UBERON:0002902,,,nervous,unspecified,direct-source-geometry
UBERON:0006092,cuneus cortex,UBERON:0006092,,,nervous,unspecified,direct-source-geometry
UBERON:0002943,lingual gyrus,UBERON:0002943,,,nervous,unspecified,direct-source-geometry
UBERON:0022364,occipital fusiform gyrus,UBERON:0022364,,,nervous,unspecified,direct-source-geometry
UBERON:0014608,inferior occipital gyrus,UBERON:0014608,,,nervous,unspecified,direct-source-geometry
UBERON:0002948,superior occipital gyrus,UBERON:0002948,,,nervous,unspecified,direct-source-geometry
UBERON:0002756,anterior cingulate gyrus,UBERON:0002756,,,nervous,unspecified,direct-source-geometry
UBERON:0002740,posterior cingulate gyrus,UBERON:0002740,,,nervous,unspecified,direct-source-geometry
UBERON:0002738,isthmus of cingulate gyrus,UBERON:0002738,,,nervous,unspecified,direct-source-geometry
UBERON:0003020,subcallosal area,UBERON:0003020,,,nervous,unspecified,direct-source-geometry
UBERON:0022383,anterior parahippocampal gyrus,UBERON:0022383,,,nervous,unspecified,direct-source-geometry
UBERON:0002657,posterior parahippocampal gyrus,UBERON:0002657,,,nervous,unspecified,direct-source-geometry
HRA:Allen_gyrus_ambiens_L|left,gyrus ambiens (left),,,,nervous,left,direct-source-geometry
HRA:Allen_head_of_hippocampus_L|left,head of hippocampus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_body_of_hippocampus_L|left,body of hippocampus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_tail_of_hippocampus_L|left,tail of hippocampus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_long_insular_gyri_L|left,long insular gyri (left),,,,nervous,left,direct-source-geometry
HRA:Allen_short_insular_gyri_L|left,short insular gyri (left),,,,nervous,left,direct-source-geometry
HRA:Allen_limen_insula_L|left,limen insula (left),,,,nervous,left,direct-source-geometry
HRA:Allen_pretectal_region_L|left,pretectal region (left),,,,nervous,left,direct-source-geometry
UBERON:0002038,substantia nigra,UBERON:0002038,,,nervous,unspecified,direct-source-geometry
UBERON:0001945,superior colliculus,UBERON:0001945,,,nervous,unspecified,direct-source-geometry
UBERON:0002623,cerebral peduncle,UBERON:0002623,,,nervous,unspecified,direct-source-geometry
HRA:Allen_superior_cerebellar_peduncle_brachium_conjunctivum_L|left,superior cerebellar peduncle brachium conjunctivum (left),,,,nervous,left,direct-source-geometry
HRA:Allen_cerebral_aqueduct_L|left,cerebral aqueduct (left),,,,nervous,left,direct-source-geometry
HRA:Allen_paravermis_of_cerebellum_L|left,paravermis of cerebellum (left),,,,nervous,left,direct-source-geometry
HRA:Allen_lateral_hemisphere_of_cerebellum_L|left,lateral hemisphere of cerebellum (left),,,,nervous,left,direct-source-geometry
UBERON:0002151,pontine nuclear group,UBERON:0002151,,,sensory,unspecified,direct-source-geometry
UBERON:0003023,pontine tegmentum,UBERON:0003023,,,nervous,unspecified,direct-source-geometry
HRA:Allen_pyramidal_part_of_medulla_oblongata_L|left,pyramidal part of medulla oblongata (left),,,,nervous,left,direct-source-geometry
HRA:Allen_tegmentum_of_medulla_oblongata_L|left,tegmentum of medulla oblongata (left),,,,nervous,left,direct-source-geometry
HRA:Allen_inferior_olive_L|left,inferior olive (left),,,,nervous,left,direct-source-geometry
